EC,rxn_ID,reaction
1.1.1.318,rxn23260,(1) cpd00006[0] + (1) cpd00029[0] + (1) cpd07339[0] <=> (1) cpd00005[0] + (1) cpd21458[0]
3.6.1.-,rxn22130,(1) cpd00001[0] + (1) cpd00350[0] <=> (1) cpd00009[0] + (1) cpd21354[0]
3.1.3.-,rxn22131,(1) cpd00001[0] + (1) cpd21354[0] <=> (1) cpd00009[0] + (1) cpd00829[0]
3.1.3.-,rxn22132,(1) cpd00289[0] <=> (1) cpd00012[0] + (1) cpd03630[0]
3.1.3.-,rxn22133,(1) cpd00001[0] + (1) cpd00289[0] <=> (1) cpd00012[0] + (1) cpd21060[0]
2.4.1.-,rxn22134,(1) cpd00010[0] + (1) cpd11836[0] <=> (1) cpd11493[0] + (1) cpd26802[0]
2.4.1.252,rxn22135,(1) cpd00083[0] + (1) cpd23566[0] <=> (1) cpd00031[0] + (1) cpd23567[0]
2.4.1.251,rxn22136,(1) cpd00083[0] + (1) cpd23568[0] <=> (1) cpd00031[0] + (1) cpd21099[0]
2.4.1.264,rxn22137,(1) cpd00144[0] + (1) cpd23567[0] <=> (1) cpd00014[0] + (1) cpd23568[0]
2.7.8.31,rxn22138,(1) cpd19245[0] + (1) cpd28293[0] <=> (1) cpd00091[0] + (1) cpd23569[0]
2.5.1.18,rxn28898,(1) cpd00042[0] + (1) cpd05511[0] <=> (1) cpd28897[0]
2.5.1.18,rxn12586,(1) cpd02599[1] <=> (1) cpd02599[0]
1.1.1.-,rxn21589,(1) cpd00006[0] + (1) cpd00029[0] + (1) cpd25907[0] <=> (1) cpd00005[0] + (1) cpd23298[0]
1.14.13.32,rxn02635,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd01227[0] <=> (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd01818[0]
2.4.1.114,rxn02634,(1) cpd00026[0] + (1) cpd01224[0] <=> (1) cpd00014[0] + (1) cpd03071[0]
1.1.1.225,rxn02637,(1) cpd00006[0] + (1) cpd01823[0] <=> (1) cpd00005[0] + (1) cpd01235[0]
1.3.1.3,rxn02636,(1) cpd00005[0] + (1) cpd01228[0] <=> (1) cpd00006[0] + (1) cpd03254[0]
3.2.1.125,rxn02631,(1) cpd00001[0] + (1) cpd01406[0] <=> (1) cpd00027[0] + (1) cpd01216[0]
3.1.1.38,rxn02630,(1) cpd00001[0] + (1) cpd01781[0] <=> (1) cpd01213[0]
1.3.1.11,rxn02633,(1) cpd00003[0] + (1) cpd00882[0] <=> (1) cpd00004[0] + (1) cpd01224[0]
1.3.1.11,rxn02632,(1) cpd00003[0] + (1) cpd01949[0] <=> (1) cpd00004[0] + (1) cpd01221[0]
2.3.1.176,rxn02639,(1) cpd00086[0] + (1) cpd01237[0] <=> (1) cpd00010[0] + (1) cpd03248[0]
2.3.1.65,rxn02638,(1) cpd00033[0] + (1) cpd01237[0] <=> (1) cpd00010[0] + (1) cpd01318[0]
2.1.1.-,rxn26309,(1) cpd00017[0] + (1) cpd28537[0] <=> (1) cpd00019[0] + (1) cpd27624[0]
2.1.1.-,rxn26308,(2) cpd12713[0] + (1) cpd15560[0] <=> (1) cpd15561[0]
1.1.1.60,rxn27397,(1) cpd00223[0] + (1) cpd27638[0] <=> (1) cpd00843[0] + (1) cpd27640[0]
1.13.11.-,rxn23889,(1) cpd00007[0] + (1) cpd26607[0] <=> (1) cpd21989[0]
1.4.1.19,rxn27396,(1) cpd00001[0] + (1) cpd00065[0] + (1) cpd27638[0] <=> (1) cpd00013[0] + (1) cpd00278[0] + (1) cpd27640[0]
1.4.1.19,rxn23883,(1) cpd22254[0] <=> (1) cpd00093[0]
1.4.1.19,rxn23882,(1) cpd00001[0] + (1) cpd08011[0] <=> (1) cpd22254[0]
1.4.1.19,rxn23881,(1) cpd08012[0] <=> (1) cpd08011[0]
1.4.1.19,rxn23880,(1) cpd26870[0] <=> (1) cpd00029[0] + (1) cpd08012[0]
2.1.1.-,rxn23887,(1) cpd05727[0] + (1) cpd26936[0] <=> (1) cpd01451[0] + (1) cpd27518[0]
2.1.1.-,rxn23834,(1) cpd02548[0] <=> (1) cpd27277[0]
2.1.1.-,rxn23885,(1) cpd00017[0] + (1) cpd14947[0] <=> (1) cpd00019[0] + (1) cpd07402[0]
3.5.1.46,rxn23884,(1) cpd00001[0] + (1) cpd24459[0] <=> (1) cpd00921[0]
3.1.-.-,rxn23835,(1) cpd00001[0] + (1) cpd27277[0] <=> (1) cpd00190[0] + (1) cpd00703[0]
2.7.11.28,rxn27393,(1) cpd00002[0] + (1) cpd28280[0] <=> (1) cpd00008[0] + (1) cpd27875[0]
2.1.1.35,rxn27392,(1) cpd00017[0] + (1) cpd28595[0] <=> (1) cpd00019[0] + (1) cpd28574[0]
2.8.1.4,rxn27391,(1) cpd00084[0] + (1) cpd22303[0] <=> (1) cpd00054[0] + (1) cpd28565[0]
5.4.99.12,rxn27390,(1) cpd28586[0] <=> (1) cpd28579[0]
5.4.99.12,rxn32011,(1) cpd00103[0] <=> (1) cpd00103[1]
5.4.99.12,rxn32935,(1) cpd05556[0] <=> (1) cpd05556[1]
1.11.1.-,rxn32934,(1) cpd00025[0] + (1) cpd11421[0] <=> (2) cpd00001[0] + (1) cpd11420[0]
1.9.3.1,rxn32937,(1) cpd00007[0] + (4) cpd00110[0] <=> (2) cpd00001[0] + (4) cpd26784[0]
2.7.4.12|2.7.4.8,rxn32936,(1) cpd00002[0] + (1) cpd00296[0] <=> (1) cpd00008[0] + (1) cpd00295[0]
1.2.99.3,rxn32931,(1) cpd00001[0] + (1) cpd00097[0] + (1) cpd03664[0] <=> (1) cpd00986[0] + (1) cpd03663[0]
1.2.99.3,rxn23838,(1) cpd00001[0] + (1) cpd02412[0] <=> (1) cpd00121[0] + (1) cpd00703[0]
1.2.99.3,rxn32933,(1) cpd00001[0] + (1) cpd00097[0] + (1) cpd03664[0] <=> (1) cpd00986[0] + (1) cpd03663[0]
