id,smiles
cpd00059,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O
cpd00060,CSCC[C@H]([NH3+])C(=O)[O-]
cpd00061,C=C(OP(=O)([O-])[O-])C(=O)[O-]
cpd00062,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00063,[Ca+2]
cpd00064,[NH3+]CCC[C@H]([NH3+])C(=O)[O-]
cpd00065,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
cpd00066,[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]
cpd00067,[H+]
cpd00068,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00069,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]
cpd00070,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-]
cpd00071,CC=O
cpd00072,O=P([O-])([O-])OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
cpd00073,NC(N)=O
cpd00074,[S]
cpd00075,O=NO
cpd00076,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00077,Oc1ccccc1O
cpd00078,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-]
cpd00079,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00080,O=P([O-])([O-])OC[C@H](O)CO
cpd00081,O=S([O-])O
cpd00082,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
cpd00083,Nc1nc2c(ncn2C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00084,[NH3+][C@@H](CS)C(=O)[O-]
cpd00085,[NH3+]CCC(=O)[O-]
cpd00086,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd00087,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
cpd00088,O=C1C(Cl)=CC(=Nc2ccc(O)cc2)C=C1Cl
cpd00089,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
cpd00090,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00091,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00092,O=c1cc[nH]c(=O)[nH]1
cpd00093,Nc1ccccc1C(=O)[O-]
cpd00094,CCC(=O)C(=O)[O-]
cpd00095,O=C(CO)COP(=O)([O-])[O-]
cpd00096,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1
cpd00097,O=C([O-])c1cc(C(=O)[O-])c2c(n1)C(=O)C(=O)c1cc(C(=O)[O-])[nH]c1-2
